Date,Average humidity (%),Rainfall for month (in),Maximum rain per minute,Maximum humidity (%),Minimum humidity (%)
2011/2/23,39,0.18,0,79,16
2011/2/24,75,0.21,0,89,39
2011/2/25,85,0.21,0,88,83
2011/2/26,64,0.43,0,88,34
2011/2/27,33,0.48,0,53,21
2011/2/28,27,0.48,0,44,17
2011/3/28,68,0,0,90,30
2011/3/30,42,0,0,53,28
2011/3/31,45,0.01,0,65,27
2011/4/27,38,0,0,47,25
2011/4/28,24,0,0,50,9
2011/4/29,57,0.04,0,89,27
2011/4/30,34,0.04,0,54,20
2011/5/1,55,0,0,88,26
2011/5/2,58,0.05,0,85,28
2011/5/3,28,0.05,0,50,19
2011/5/4,41,0.05,0,80,18
2011/5/5,25,0.05,0,52,9
2011/5/6,20,0.05,0,44,2
2011/5/7,32,0.05,0,67,12
2011/5/8,26,0.05,0,65,8
2011/5/9,24,0.05,0,52,12
2011/5/10,31,0.05,0,54,12
2011/5/11,88,0.69,0,94,55
2011/5/12,68,0.9,0,92,44
2011/5/13,51,0.9,0,91,23
2011/5/14,86,0.9,0,92,71
2011/5/15,84,0.94,0,91,70
2011/5/16,68,0.94,0,87,38
2011/5/17,69,0.95,0,92,25
2011/5/18,89,1.7,0,93,79
2011/5/19,89,2.32,0,94,76
2011/5/20,69,2.4,0,94,36
2011/5/21,55,2.4,0,70,41
2011/5/22,37,2.4,0,48,23
2011/5/23,59,2.46,0,80,25
2011/5/24,73,2.55,0,91,44
2011/5/25,51,2.56,0,83,27
2011/5/26,51,2.56,0,92,16
2011/5/27,57,2.58,0,84,38
2011/5/28,78,2.62,0,90,64
2011/5/29,76,2.62,0,94,46
2011/5/30,50,2.63,0,93,17
2011/5/31,28,2.63,0,54,10
2011/6/1,39,0,0,71,12
2011/6/2,34,0,0,75,10
2011/6/3,34,0,0,70,15
2011/6/4,58,0,0,87,33
2011/6/5,42,0,0,91,11
2011/6/6,36,0,0,76,13
2011/6/7,17,0,0,31,9
2011/6/8,45,0.1,0,86,26
2011/6/9,80,0.2,0,93,55
2011/6/10,59,0.2,0,91,32
2011/6/11,52,0.2,0,91,12
2011/6/12,37,0.2,0,87,7
2011/6/13,35,0.2,0,77,11
2011/6/14,34,0.2,0,66,15
2011/6/15,36,0.2,0,80,11
2011/6/16,40,0.2,0,75,19
2011/6/17,58,0.41,0,89,35
2011/6/18,52,0.42,0,91,25
2011/6/19,69,0.85,0,91,27
2011/6/20,67,1.1,0,91,41
2011/6/21,42,1.1,0,69,25
2011/6/22,50,1.1,0,86,18
2011/6/23,54,1.12,0,89,20
2011/6/24,46,1.12,0,89,13
2011/6/25,36,1.12,0,88,10
2011/6/26,24,1.12,0,60,9
2011/6/27,56,1.13,0,83,36
2011/6/28,42,1.13,0,92,11
2011/6/29,39,1.15,0,78,15
2011/6/30,58,1.32,0,87,17
2011/7/14,61,0,0,92,23
2011/7/15,50,0,0,88,13
2011/7/16,60,0.08,0,90,19
2011/7/17,70,0.57,0,93,30
2011/7/18,69,0.72,0,95,30
2011/7/19,49,0.73,0,80,27
2011/7/20,39,0.73,0,65,19
2011/7/21,50,0.77,0,91,16
2011/7/22,39,0.77,0,88,12
2011/7/23,36,0.77,0,80,8
2011/7/24,51,0.77,0,92,13
2011/7/25,52,0.77,0,93,17
2011/7/26,46,0.79,0,84,27
2011/7/27,47,0.79,0,75,23
2011/7/28,59,1.18,0,91,28
2011/7/29,56,1.18,0,91,27
2011/7/30,41,1.18,0,85,15
2011/7/31,48,1.18,0,87,21
2011/8/1,43,0,0,59,28
2011/8/2,53,0,0,76,31
2011/8/3,64,0.01,0,93,31
2011/8/4,48,0.01,0,78,27
2011/8/5,37,0.01,0,74,16
2011/8/6,39,0.01,0,85,14
2011/8/7,31,0.01,0,82,9
2011/8/8,22,0.01,0,53,8
2011/8/9,41,0.01,0,84,10
2011/8/10,61,0.01,0,93,34
2011/8/11,35,0.01,0,79,10
2011/8/12,37,0.01,0,64,15
2011/8/13,48,0.01,0,83,13
2011/8/14,52,0.12,0,88,26
2011/8/15,36,0.12,0,52,20
2011/8/16,44,0.12,0,88,18
2011/8/17,44,0.12,0,91,10
2011/8/18,32,0.12,0,76,6
2011/8/19,36,0.13,0,73,21
2011/8/20,52,0.13,0,90,25
2011/8/21,57,0.24,0,92,19
2011/8/22,43,0.24,0,79,19
2011/8/23,30,0.24,0,65,12
2011/8/24,36,0.24,0,80,16
2011/8/25,48,0.35,0,85,18
2011/8/26,57,0.35,0,90,23
2011/8/27,57,0.35,0,92,22
2011/8/28,60,0.39,0,85,20
2011/8/29,62,0.45,0,94,25
2011/8/30,35,0.45,0,61,20
2011/8/31,33,0.45,0,77,14
2011/9/26,31,0,0,68,11
2011/9/27,40,0,0,84,14
2011/9/29,43,0,0,78,21
2011/9/30,50,0,0,92,12
2011/10/1,44,0,0,76,16
2011/10/2,41,0,0,68,18
2011/10/3,49,0,0,80,23
2011/10/4,52,0,0,76,24
2011/10/5,47,0,0,74,24
2011/10/6,50,0.01,0,83,24
2011/10/7,27,0.02,0,41,15
2011/10/8,76,0.22,0,91,32
2011/10/9,74,0.24,0,90,32
2011/10/10,49,0.24,0,91,26
2011/10/11,54,0.26,0,82,29
2011/10/12,30,0.27,0,76,13
2011/10/13,23,0.27,0,44,16
2011/10/14,31,0.27,0,45,18
2011/10/15,23,0.27,0,34,12
2011/10/16,36,0.27,0,77,15
2011/10/17,51,0.34,0,87,31
2011/10/18,42,0.34,0,76,20
2011/10/19,52,0.34,0,86,19
2011/10/20,27,0.34,0,62,15
2011/10/21,28,0.34,0,46,13
2011/10/22,35,0.34,0,63,17
2011/10/23,22,0.34,0,32,11
2011/10/24,20,0.34,0,35,10
2011/10/25,54,0.35,0,91,23
2011/10/26,86,0.35,0,91,77
2011/10/27,71,0.88,0,85,35
2011/10/28,42,0.89,0,85,23
2011/10/29,29,0.89,0,40,17
2011/10/30,35,0.89,0,48,26
2011/10/31,30,0.89,0,47,24
2011/11/1,73,0,0,90,38
2011/11/2,86,0.2,0,89,81
2011/11/3,71,0.2,0,86,11
2011/11/5,55,0.2,0,81,29
2011/11/6,46,0.2,0,64,33
2011/11/7,69,0.2,0,84,34
2011/11/8,54,0.2,0,85,24
2011/11/9,31,0.2,0,62,14
2011/11/10,14,0.2,0,19,9
2011/11/11,11,0.2,0,20,6
2011/11/12,48,0.2,0,89,16
2011/11/13,58,0.2,0,89,41
2011/11/14,36,0.2,0,63,23
2011/11/15,40,0.2,0,61,27
2011/11/16,23,0.2,0,40,11
2011/11/17,24,0.2,0,28,17
2011/11/18,28,0.2,0,37,19
2011/11/19,73,0.24,0,88,27
2011/11/20,58,0.3,0,86,37
2011/11/21,47,0.3,0,79,31
2011/11/22,43,0.3,0,64,33
2011/11/23,28,0.3,0,45,14
2011/11/24,18,0.3,0,43,11
2011/11/25,42,0.3,0,87,24
2011/11/26,36,0.3,0,73,19
2011/11/27,21,0.3,0,32,15
2011/11/28,23,0.3,0,59,12
2011/11/29,41,0.3,0,79,18
2011/11/30,30,0.3,0,86,16
2011/12/22,80,0.09,0,86,72
2011/12/23,73,0.17,0,83,41
2011/12/24,59,0.18,0,83,17
2011/12/25,63,0.18,0,82,20
2011/12/26,27,0.18,0,69,18
2011/12/27,26,0.18,0,42,16
2011/12/28,36,0.18,0,47,23
2011/12/29,45,0.19,0,84,24
2011/12/30,33,0.19,0,42,20
2011/12/31,35,0.19,0,81,14
2012/1/1,26,0,0,56,10
2012/1/2,38,0,0,78,17
2012/1/3,21,0,0,28,15
2012/1/4,18,0,0,34,10
2012/1/5,29,0,0,55,16
2012/1/6,45,0,0,85,11
2012/1/7,76,0,0,89,51
2012/1/8,69,0.04,0,83,26
2012/1/9,68,0.04,0,85,37
2012/1/10,49,0.04,0,86,16
2012/1/11,51,0.04,0,80,17
2012/1/12,24,0.04,0,35,17
2012/1/13,22,0.04,0,27,17
2012/1/14,23,0.04,0,30,18
2012/1/15,18,0.04,0,24,11
2012/1/16,49,0.04,0,85,24
2012/1/17,29,0.04,0,39,20
2012/1/18,34,0.04,0,56,21
2012/1/19,49,0.04,0,61,41
2012/1/20,51,0.04,0,74,35
2012/1/21,41,0.04,0,69,26
2012/1/22,41,0.04,0,60,25
2012/1/23,37,0.04,0,64,20
2012/1/24,70,0.04,0,86,44
2012/1/25,29,0.04,0,46,15
2012/1/26,39,0.04,0,81,23
2012/1/27,38,0.04,0,67,21
2012/1/28,18,0.04,0,27,12
2012/1/29,28,0.04,0,35,22
2012/1/30,28,0.04,0,41,19
2012/1/31,30,0.04,0,42,18
2012/3/1,58,0,0,87,32
2012/3/2,46,0,0,69,23
2012/3/3,35,0,0,45,27
2012/3/4,37,0,0,55,25
2012/3/5,22,0,0,27,15
2012/3/6,17,0,0,43,7
2012/3/7,77,0,0,89,34
2012/3/8,57,0,0,85,27
2012/3/9,42,0,0,77,9
2012/3/10,41,0,0,71,8
2012/3/11,41,0,0,76,12
2012/3/12,23,0,0,36,15
2012/3/13,16,0,0,25,9
2012/3/14,12,0,0,21,6
2012/3/15,23,0,0,55,15
2012/3/16,29,0,0,69,14
2012/3/17,22,0,0,41,11
2012/3/18,45,0,0,89,13
2012/3/19,34,0,0,60,21
2012/3/20,28,0,0,49,11
2012/3/21,33,0,0,58,17
2012/3/22,42,0,0,76,15
2012/3/23,28,0,0,57,7
2012/3/24,32,0,0,70,12
2012/3/25,48,0,0,86,10
2012/3/26,34,0,0,72,6
2012/3/27,21,0,0,38,9
2012/3/28,29,0,0,59,10
2012/3/29,21,0,0,43,14
2012/3/30,24,0,0,37,14
2012/3/31,21,0,0,31,6
2012/4/1,14,0,0,24,9
2012/4/2,61,0,0,89,22
2012/4/3,81,0.21,0,89,71
2012/4/4,68,0.22,0,90,30
2012/4/5,50,0.22,0,85,13
2012/4/6,33,0.22,0,81,6
2012/4/7,22,0.22,0,53,7
2012/4/8,17,0.22,0,54,6
2012/4/9,31,0.22,0,61,6
2012/4/10,43,0.22,0,80,9
2012/4/11,65,0.31,0,86,27
2012/4/12,40,0.31,0,88,16
2012/4/13,33,0.31,0,60,15
2012/4/14,66,0.32,0,92,31
2012/4/15,74,0.46,0,92,37
2012/4/16,50,0.46,0,89,25
2012/4/17,34,0.46,0,51,22
2012/4/18,39,0.46,0,59,19
2012/4/19,47,0.47,0,80,23
2012/4/20,49,0.48,0,92,26
2012/4/21,30,0.48,0,66,13
2012/4/22,49,0.48,0,87,16
2012/4/23,40,0.48,0,77,12
2012/4/24,33,0.48,0,62,12
2012/4/25,34,0.48,0,55,15
2012/4/26,48,0.54,0,81,20
2012/4/27,43,0.54,0,88,22
2012/4/28,34,0.54,0,80,13
2012/4/29,48,0.54,0,83,15
2012/4/30,31,0.54,0,73,11
2012/5/1,28,0,0,54,17
2012/5/2,48,0.12,0,81,23
2012/5/3,43,0.12,0,88,18
2012/5/4,18,0.12,0,34,7
2012/5/5,17,0.12,0,38,8
2012/5/6,56,0.21,0,91,23
2012/5/7,86,0.33,0,92,67
2012/5/8,61,0.34,0,92,30
2012/5/9,43,0.34,0,89,13
2012/5/10,27,0.34,0,67,10
2012/5/11,77,0.38,0,92,39
2012/5/12,82,0.53,0,94,41
2012/5/13,75,0.59,0,94,37
2012/5/14,46,0.59,0,90,10
2012/5/15,33,0.59,0,69,11
2012/5/16,34,0.59,0,57,11
2012/5/17,32,0.59,0,60,17
2012/5/18,38,0.59,0,72,13
2012/5/19,79,0.99,0,92,41
2012/5/20,63,1,0,94,27
2012/5/21,43,1,0,86,13
2012/5/22,33,1,0,72,8
2012/5/23,61,1.22,0,89,22
2012/5/24,55,1.22,0,91,24
2012/5/25,76,1.22,0,90,66
2012/5/26,48,1.22,0,93,10
2012/5/27,19,1.22,0,37,10
2012/5/28,23,1.22,0,37,10
2012/5/29,35,1.22,0,60,12
2012/5/30,39,1.22,0,69,13
2012/5/31,55,1.22,0,83,33
2012/6/1,44,0,0,84,21
2012/6/2,57,0.13,0,88,19
2012/6/3,35,0.13,0,65,16
2012/6/4,40,0.13,0,80,12
2012/6/5,54,0.26,0,80,25
2012/6/6,52,0.26,0,87,16
2012/6/7,60,0.26,0,85,31
2012/6/8,39,0.26,0,89,7
2012/6/9,11,0.26,0,15,7
2012/6/10,16,0.26,0,33,8
2012/6/11,22,0.26,0,67,11
2012/6/12,28,0.26,0,80,9
2012/6/13,22,0.26,0,71,7
2012/6/14,30,0.26,0,70,16
2012/6/15,43,0.27,0,84,18
2012/6/16,51,0.27,0,85,27
2012/6/17,29,0.27,0,79,7
2012/6/18,13,0.27,0,48,7
2012/6/19,13,0.27,0,32,7
2012/6/20,44,0.27,0,68,19
2012/6/21,38,0.27,0,58,21
2012/6/22,28,0.27,0,83,5
2012/6/23,12,0.27,0,40,6
2012/6/24,17,0.27,0,52,9
2012/6/25,26,0.27,0,80,9
2012/6/26,22,0.27,0,54,13
2012/6/27,38,0.38,0,82,16
2012/6/28,58,0.44,0,93,15
2012/6/29,32,0.44,0,80,11
2012/6/30,30,0.44,0,80,9
2012/7/1,31,0,0,81,6
2012/7/2,47,0.07,0,90,12
2012/7/3,57,0.08,0,93,17
2012/7/4,34,0.08,0,74,11
2012/7/5,52,0.08,0,83,28
2012/7/6,63,1.33,0,93,29
2012/7/7,88,3,0,94,69
2012/7/8,84,3.3,0,94,61
2012/7/9,75,3.31,0,94,53
2012/7/10,68,3.31,0,94,44
2012/7/11,58,3.32,0,94,25
2012/7/12,50,3.32,0,93,15
2012/7/13,46,3.32,0,92,17
2012/7/14,46,3.32,0,91,20
2012/7/15,44,3.5,0,87,23
2012/7/16,53,3.54,0,90,25
2012/7/17,46,3.54,0,85,27
2012/7/18,48,3.54,0,94,14
2012/7/19,55,3.69,0,92,16
2012/7/20,46,3.69,0,93,19
2012/7/21,47,3.71,0,90,22
2012/7/22,56,3.79,0,90,26
2012/7/23,55,3.82,0,95,19
2012/7/24,55,3.98,0,90,25
2012/7/25,57,4.06,0,89,25
2012/7/26,62,4.06,0,94,33
2012/7/27,60,4.14,0,94,24
2012/7/28,55,4.3,0,80,27
2012/7/29,70,4.4,0,93,28
2012/7/30,73,4.48,0,94,39
2012/7/31,53,4.48,0,93,18
2012/8/1,45,0.07,0,86,24
2012/8/2,42,0.08,0,70,22
2012/8/3,29,0.08,0,56,15
2012/8/4,57,0.08,0,77,36
2012/8/5,49,0.08,0,87,17
2012/8/6,43,0.22,0,85,17
2012/8/7,53,0.23,0,91,23
2012/8/8,40,0.23,0,77,15
2012/8/9,44,0.23,0,73,18
2012/8/10,52,0.26,0,86,22
2012/8/11,40,0.26,0,86,17
2012/8/12,47,0.26,0,80,25
2012/8/13,53,0.26,0,78,24
2012/8/14,44,0.26,0,83,13
2012/8/15,37,0.26,0,76,14
2012/8/16,70,0.26,0,86,54
2012/8/17,60,0.29,0,93,13
2012/8/18,55,0.29,0,89,26
2012/8/19,46,0.29,0,84,21
2012/8/20,51,0.29,0,79,20
2012/8/21,51,0.29,0,88,20
2012/8/22,48,0.3,0,78,23
2012/8/23,76,0.7,0,93,37
2012/8/24,61,0.74,0,94,19
2012/8/25,41,0.74,0,74,26
2012/8/26,44,0.74,0,86,13
2012/8/27,43,0.74,0,75,17
2012/8/28,55,0.76,0,80,21
2012/8/29,44,0.76,0,82,16
2012/8/30,50,0.77,0,76,19
2012/8/31,45,0.77,0,84,15
2012/9/1,43,0,0,76,18
2012/9/2,36,0,0,74,14
2012/9/3,44,0,0,75,17
2012/9/4,34,0,0,76,10
2012/9/5,25,0,0,52,8
2012/9/6,30,0,0,68,11
2012/9/7,72,0.11,0,92,27
2012/9/8,57,0.12,0,93,16
2012/9/9,44,0.12,0,89,11
2012/9/10,28,0.12,0,70,14
2012/9/11,55,0.5,0,92,24
2012/9/12,90,0.59,0,94,83
2012/9/13,66,0.6,0,94,24
2012/9/14,55,0.61,0,92,18
2012/9/15,42,0.61,0,84,9
2012/9/16,29,0.61,0,66,10
2012/9/17,65,0.61,0,89,31
2012/9/18,49,0.62,0,92,12
2012/9/19,28,0.62,0,58,14
2012/9/20,42,0.62,0,81,15
2012/9/21,45,0.62,0,78,18
2012/9/22,46,0.62,0,82,15
2012/9/23,40,0.62,0,80,11
2012/9/24,47,0.66,0,78,26
2012/9/25,75,0.8,0,91,39
2012/9/26,84,1.31,0,92,69
2012/9/27,83,1.33,0,94,44
2012/9/28,71,1.34,0,94,29
2012/9/29,62,1.35,0,94,18
2012/9/30,47,1.35,0,75,20
2012/10/1,59,0,0,83,34
2012/10/2,35,0,0,93,11
2012/10/3,32,0,0,80,12
2012/10/4,73,0,0,80,63
2012/10/5,80,0.02,0,91,56
2012/10/6,76,0.02,0,90,27
2012/10/7,55,0.02,0,86,19
2012/10/8,13,0.02,0,35,8
2012/10/9,53,0.02,0,86,15
2012/10/10,50,0.02,0,90,12
2012/10/11,53,0.02,0,83,19
2012/10/12,62,0.03,0,86,23
2012/10/13,54,0.08,0,81,34
2012/10/14,45,0.08,0,73,28
2012/10/15,30,0.08,0,43,17
2012/10/16,39,0.2,0,86,22
2012/10/17,26,0.2,0,40,15
2012/10/18,23,0.2,0,31,14
2012/10/19,21,0.2,0,29,11
2012/10/20,21,0.2,0,31,13
2012/10/21,29,0.2,0,61,14
2012/10/22,40,0.2,0,79,15
2012/10/23,24,0.2,0,47,12
2012/10/24,72,0.21,0,92,46
2012/10/25,85,0.4,0,89,71
2012/10/26,72,0.57,0,88,33
2012/10/27,44,0.57,0,64,32
2012/10/28,44,0.57,0,59,32
2012/10/29,40,0.57,0,48,27
2012/10/30,30,0.57,0,38,20
2012/10/31,32,0.57,0,68,16
2012/11/1,41,0,0,82,13
2012/11/2,43,0,0,71,20
2012/11/3,45,0,0,88,12
2012/11/4,30,0,0,46,18
2012/11/5,42,0,0,76,26
2012/11/6,31,0,0,45,18
2012/11/7,23,0,0,41,13
2012/11/8,37,0,0,77,19
2012/11/9,37,0,0,77,18
2012/11/10,58,0,0,84,31
2012/11/11,40,0,0,84,19
2012/11/12,24,0,0,36,16
2012/11/13,33,0,0,66,16
2012/11/14,29,0,0,65,19
2012/11/15,66,0,0,87,46
2012/11/16,37,0,0,89,11
2012/11/17,47,0,0,73,29
2012/11/18,45,0,0,79,27
2012/11/19,39,0,0,48,27
2012/11/20,25,0,0,38,17
2012/11/21,17,0,0,23,12
2012/11/22,28,0,0,47,16
2012/11/23,32,0,0,67,15
2012/11/24,19,0,0,27,14
2012/11/25,23,0,0,32,12
2012/11/26,60,0,0,89,12
2012/11/27,14,0,0,22,7
2012/11/28,17,0,0,27,10
2012/11/29,31,0,0,39,20
2012/11/30,33,0,0,47,22
2012/12/1,35,0,0,46,25
2012/12/2,23,0,0,39,12
2012/12/3,24,0,0,63,6
2012/12/4,23,0,0,35,15
2012/12/5,37,0,0,56,21
2012/12/6,58,0,0,78,30
2012/12/7,52,0,0,74,35
2012/12/8,52,0,0,73,34
2012/12/9,40,0,0,69,23
2012/12/10,43,0,0,71,28
2012/12/11,50,0,0,79,27
2012/12/12,33,0,0,45,24
2012/12/13,27,0,0,54,16
2012/12/14,45,0,0,60,27
2012/12/15,45,0,0,54,34
2012/12/16,38,0,0,51,26
2012/12/17,53,0,0,71,35
2012/12/18,80,0.02,0,87,62
2012/12/19,64,0.1,0,85,29
2012/12/20,26,0.1,0,34,20
2012/12/21,23,0.12,0,38,14
2012/12/22,13,0.12,0,25,9
2012/12/23,31,0.12,0,55,10
2012/12/24,57,0.12,0,86,34
2012/12/25,77,0.19,0,82,66
2012/12/26,61,0.19,0,83,39
2012/12/27,59,0.19,0,83,30
2012/12/28,42,0.19,0,80,27
2012/12/29,36,0.19,0,59,19
2012/12/30,31,0.19,0,63,16
2012/12/31,73,0.19,0,81,61
2013/1/1,50,0,0,80,28
2013/1/2,36,0,0,52,24
2013/1/3,45,0,0,73,11
2013/1/4,52,0,0,75,22
2013/1/5,42,0,0,74,16
2013/1/6,28,0,0,58,8
2013/1/7,14,0,0,27,7
2013/1/8,38,0,0,46,16
2013/1/9,29,0,0,44,12
2013/1/10,37,0,0,60,11
2013/1/11,46,0,0,78,25
2013/1/12,46,0,0,75,23
2013/1/13,68,0,0,73,52
2013/1/14,57,0,0,73,26
2013/1/15,38,0,0,50,23
2013/1/16,46,0,0,74,23
2013/1/17,48,0,0,83,16
2013/1/18,20,0,0,25,16
2013/1/19,17,0,0,24,10
2013/1/20,26,0,0,60,13
2013/1/21,23,0,0,29,12
2013/1/22,9,0,0,14,6
2013/1/23,9,0,0,15,6
2013/1/24,26,0,0,51,11
2013/1/25,44,0,0,52,32
2013/1/26,49,0,0,89,24
2013/1/27,56,0.01,0,91,26
2013/1/28,55,0.01,0,85,27
2013/1/29,44,0.01,0,85,26
2013/1/30,43,0.01,0,56,31
2013/1/31,45,0.01,0,63,31
2013/2/1,41,0,0,50,30
2013/2/2,26,0,0,41,15
2013/2/3,16,0,0,41,7
2013/2/4,26,0,0,36,15
2013/2/5,34,0,0,45,26
2013/2/6,46,0,0,82,32
2013/2/7,40,0,0,81,7
2013/2/8,32,0,0,57,12
2013/2/9,62,0.01,0,85,38
2013/2/10,51,0.01,0,74,31
2013/2/11,75,0.02,0,82,47
2013/2/12,31,0.02,0,48,18
2013/2/13,38,0.02,0,43,32
2013/2/14,57,0.02,0,79,27
2013/2/15,51,0.02,0,81,27
2013/2/16,29,0.02,0,44,18
2013/2/17,22,0.02,0,42,11
2013/2/18,31,0.02,0,47,20
2013/2/19,29,0.02,0,53,7
2013/2/20,54,0.02,0,86,27
2013/2/21,80,0.08,0,84,70
2013/2/22,48,0.09,0,86,27
2013/2/23,46,0.09,0,85,33
2013/2/24,75,0.1,0,86,51
2013/2/25,55,0.13,0,81,22
2013/2/26,52,0.16,0,83,33
2013/2/27,30,0.16,0,52,17
2013/2/28,33,0.16,0,47,23
2013/3/1,35,0,0,47,25
2013/3/2,39,0,0,51,27
2013/3/3,40,0,0,86,24
2013/3/4,62,0.03,0,90,31
2013/3/5,27,0.04,0,51,10
2013/3/6,23,0.04,0,46,13
2013/3/7,29,0.04,0,65,11
2013/3/8,59,0.04,0,88,26
2013/3/9,76,0.14,0,90,46
2013/3/10,39,0.15,0,63,21
2013/3/11,49,0.15,0,88,27
2013/3/12,66,0.19,0,88,32
2013/3/13,34,0.19,0,46,17
2013/3/14,23,0.19,0,33,14
2013/3/15,22,0.19,0,41,15
2013/3/16,48,0.19,0,72,27
2013/3/17,52,0.19,0,87,23
2013/3/18,32,0.19,0,64,22
2013/3/19,19,0.19,0,68,6
2013/3/20,42,0.19,0,77,15
2013/3/21,39,0.19,0,74,17
2013/3/22,52,0.19,0,87,18
2013/3/23,81,0.19,0,85,75
2013/3/24,62,0.23,0,80,30
2013/3/25,57,0.29,0,78,25
2013/3/26,51,0.29,0,77,32
2013/3/27,61,0.29,0,86,25
2013/3/28,58,0.29,0,88,20
2013/3/29,55,0.29,0,86,20
2013/3/30,47,0.29,0,82,21
2013/3/31,39,0.29,0,89,7
2013/4/1,68,0.02,0,91,40
2013/4/2,91,0.17,0,92,86
2013/4/3,65,0.32,0,92,19
2013/4/4,39,0.32,0,62,21
2013/4/5,43,0.33,0,79,22
2013/4/6,37,0.33,0,63,21
2013/4/7,54,0.36,0,88,29
2013/4/8,61,0.37,0,92,25
2013/4/9,79,0.38,0,90,70
2013/4/10,69,0.48,0,80,34
2013/4/11,46,0.5,0,69,31
2013/4/12,61,0.5,0,86,20
2013/4/13,55,0.58,0,90,20
2013/4/14,43,0.63,0,90,22
2013/4/15,83,0.69,0,88,45
2013/4/16,86,0.75,0,88,83
2013/4/17,84,0.75,0,88,80
2013/4/18,58,0.76,0,81,33
2013/4/19,47,0.86,0,54,39
2013/4/20,58,0.88,0,83,39
2013/4/21,50,0.88,0,84,33
2013/4/22,81,0.93,0,90,41
2013/4/23,74,1.21,0,84,46
2013/4/24,39,1.21,0,66,22
2013/4/25,32,1.21,0,71,15
2013/4/26,45,1.21,0,78,17
2013/4/27,37,1.21,0,73,14
2013/4/28,29,1.21,0,56,15
2013/4/29,31,1.21,0,68,14
2013/4/30,57,1.36,0,93,21
2013/5/6,62,0,0,92,33
2013/5/7,50,0,0,82,24
2013/5/8,74,0.32,0,88,32
2013/5/9,85,0.6,0,93,62
2013/5/10,63,0.61,0,92,23
2013/5/11,60,0.61,0,89,23
2013/5/12,36,0.62,0,69,17
2013/5/13,32,0.62,0,58,16
2013/5/14,38,0.66,0,70,19
2013/5/15,51,0.66,0,80,21
2013/5/16,42,0.66,0,84,16
2013/5/17,36,0.66,0,77,12
2013/5/18,39,0.72,0,82,19
2013/5/19,39,0.72,0,51,25
2013/5/20,48,0.72,0,79,32
2013/5/21,37,0.72,0,60,22
2013/5/22,52,0.82,0,88,21
2013/5/23,77,0.82,0,91,61
2013/5/24,46,0.82,0,91,12
2013/5/25,33,0.82,0,81,8
2013/5/26,31,0.82,0,48,10
2013/5/27,23,0.82,0,57,12
2013/5/28,39,0.82,0,72,15
2013/5/29,55,1.01,0,88,28
2013/5/30,37,1.01,0,56,21
2013/5/31,28,1.01,0,47,18
2013/6/1,44,0,0,64,23
2013/6/2,43,0,0,86,16
2013/6/3,34,0,0,65,13
2013/6/4,51,0,0,75,16
2013/6/5,72,0.01,0,91,47
2013/6/6,58,0.02,0,92,25
2013/6/7,52,0.02,0,88,22
2013/6/8,38,0.02,0,67,16
2013/6/9,38,0.02,0,87,13
2013/6/10,25,0.02,0,52,11
2013/6/11,21,0.02,0,56,8
2013/6/12,23,0.02,0,61,9
2013/6/13,45,0.02,0,83,11
2013/6/14,38,0.02,0,71,8
2013/6/15,55,0.02,0,85,28
2013/6/16,50,0.05,0,85,13
2013/6/17,54,0.08,0,85,28
2013/6/18,55,0.1,0,92,17
2013/6/19,36,0.1,0,91,6
2013/6/20,24,0.1,0,50,13
2013/6/21,30,0.1,0,72,7
2013/6/22,37,0.1,0,78,10
2013/6/23,41,0.1,0,65,27
2013/6/24,32,0.1,0,86,8
2013/6/25,23,0.1,0,45,17
2013/6/26,34,0.1,0,79,13
2013/6/27,29,0.1,0,59,9
2013/6/28,43,0.1,0,73,11
2013/6/29,60,0.13,0,86,26
2013/6/30,73,0.26,0,86,51
2013/7/25,68,0.05,0,89,31
2013/7/26,56,0.07,0,78,28
2013/7/27,70,0.21,0,92,22
2013/7/28,83,0.26,0,94,41
2013/7/29,63,0.38,0,91,35
2013/7/30,54,0.4,0,93,23
2013/7/31,52,0.4,0,79,22
2013/8/1,63,0.12,0,90,26
2013/8/2,33,0.12,0,44,21
2013/8/3,47,0.16,0,80,22
2013/8/4,54,0.23,0,90,36
2013/8/5,44,0.23,0,66,32
2013/8/6,33,0.23,0,54,16
2013/8/7,56,0.23,0,81,32
2013/8/8,66,0.24,0,87,38
2013/8/9,71,0.41,0,91,33
2013/8/10,50,0.41,0,94,23
2013/8/11,71,0.61,0,91,23
2013/8/12,76,0.69,0,92,52
2013/8/13,75,0.78,0,93,50
2013/8/14,60,0.83,0,92,27
2013/8/15,44,0.83,0,83,15
2013/8/16,63,0.83,0,85,20
2013/8/17,59,0.83,0,79,16
2013/8/18,34,0.83,0,53,14
2013/8/19,38,0.83,0,69,12
2013/8/20,37,0.83,0,73,12
2013/8/21,41,0.83,0,64,23
2013/8/22,70,0.91,0,92,37
2013/8/23,57,0.96,0,92,25
2013/8/24,60,1.03,0,94,22
2013/8/25,66,1.06,0,92,27
2013/8/26,59,1.16,0,91,27
2013/8/27,66,1.25,0,94,29
2013/8/28,59,1.27,0,94,27
2013/8/29,59,1.36,0,84,22
2013/8/30,64,1.38,0,93,26
2013/8/31,51,1.39,0,83,22
2013/9/16,78,0,0,95,36
2013/9/17,48,0,0,92,17
2013/9/18,63,0.1,0,90,34
2013/9/19,70,0.1,0,91,46
